coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.715975031788373, 40.430658770692084 ",True,linea-4,https://www.metromadrid.es/es/linea/linea-4#estacion-310,True,True,Argüelles
" -3.603312655422655, 40.42374301041612 ",True,linea-2,https://www.metromadrid.es/es/linea/linea-2#estacion-255,True,True,Las Rosas
" -3.711990993449082, 40.341223138866916 ",True,linea-3,https://www.metromadrid.es/es/linea/linea-3#estacion-357,True,True,Villaverde Alto
" -3.701109289546837, 40.426182305029535 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-110,False,False,Tribunal
" -3.701109289546837, 40.426182305029535 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-111,False,False,Gran Vía
" -3.7032639472488222, 40.416871893770455 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-112,True,True,Sol
" -3.704666474578768, 40.41234081319718 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-113,False,False,Tirso de Molina
" -3.704666474578768, 40.41234081319718 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-114,False,False,Antón Martín
" -3.704666474578768, 40.41234081319718 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-115,False,False,Estación del Arte
" -3.704666474578768, 40.41234081319718 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-116,True,True,Atocha-Renfe
" -3.704666474578768, 40.41234081319718 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-117,False,False,Menéndez Pelayo
" -3.704666474578768, 40.41234081319718 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-118,True,True,Pacífico
" -3.6690617034429036, 40.3981918732199 ",False,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-119,False,False,Puente de Vallecas
" -3.678220651650197, 40.44426481662303 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-909,False,False,Cruz del Rayo
