elevator,coordinates,mechanic_stairs,accesible,line,station
True," -3.7137413543146804, 40.43905997233827 ",True,True,linea-7,Francos Rodríguez
True," -3.7159837953806902, 40.46482081014714 ",True,True,linea-7,Valdezarza
True," -3.7177043655225064, 40.47021551543151 ",True,True,linea-7,Antonio Machado
True," -3.7177043655225064, 40.47021551543151 ",True,True,linea-7,Peñagrande
True," -3.7177043655225064, 40.47021551543151 ",True,True,linea-7,Avenida de la Ilustración
True," -3.7230534484922786, 40.48501089648855 ",True,True,linea-7,Lacoma
True," -3.7258995067914737, 40.49510106705936 ",True,True,linea-7,Pitis
True," -3.612070828457266, 40.422390661721714 ",True,True,linea-2,Avenida de Guadalajara
True," -3.6235144027647195, 40.418284443909386 ",True,True,linea-2,Alsacia
True," -3.6391475841604057, 40.42361352022292 ",True,True,linea-2,La Almudena
True," -3.650528497343345, 40.4266131180015 ",True,True,linea-2,La Elipa
False," -3.663667689792175, 40.43088079412545 ",False,False,linea-2,Ventas
False," -3.6692617275650825, 40.42790259126464 ",True,False,linea-2,Manuel Becerra
True," -3.6759123759569388, 40.42453956509611 ",False,True,linea-2,Goya
False," -3.6801282562882505, 40.42293825869698 ",True,False,linea-2,Príncipe de Vergara
False," -3.6862547889045016, 40.420298442434046 ",False,False,linea-2,Retiro
False," -3.6862547889045016, 40.420298442434046 ",False,False,linea-2,Banco de España
False," -3.699256777934109, 40.41804935637811 ",False,False,linea-2,Sevilla
True," -3.7032639472488222, 40.416871893770455 ",True,True,linea-2,Sol
True," -3.7094295067152068, 40.41808648235822 ",True,True,linea-2,Ópera
False," -3.70796634277563, 40.421311677323516 ",False,False,linea-2,Santo Domingo
False," -3.7074256795634843, 40.42483751820921 ",True,False,linea-2,Noviciado
False," -3.7055818156463136, 40.43001095773282 ",False,False,linea-2,San Bernardo
False," -3.689862379719021, 40.458421129185616 ",True,False,linea-10,Santiago Bernabéu
True," -3.6924180862691784, 40.446577042902604 ",True,True,linea-10,Nuevos Ministerios
True," -3.6924180862691784, 40.446577042902604 ",True,True,linea-10,Gregorio Marañón
False," -3.6924180862691784, 40.446577042902604 ",True,False,linea-10,Alonso Martínez
False," -3.701109289546837, 40.426182305029535 ",True,False,linea-10,Tribunal
True," -3.701109289546837, 40.426182305029535 ",True,True,linea-10,Plaza de España
True," -3.701109289546837, 40.426182305029535 ",True,True,linea-10,Príncipe Pío
True," -3.7356377170839976, 40.41640917765352 ",False,True,linea-10,Lago
True," -3.7356377170839976, 40.41640917765352 ",False,True,linea-10,Batán
True," -3.7610192808902423, 40.40319981212787 ",True,True,linea-10,Casa de Campo
True," -3.774618016060599, 40.39697434800015 ",True,True,linea-10,Colonia Jardín
True," -3.774618016060599, 40.39697434800015 ",True,True,linea-10,Aviación Española
True," -3.791525479765706, 40.377697576926536 ",True,True,linea-10,Cuatro Vientos
True," -3.791525479765706, 40.377697576926536 ",True,True,linea-10,Joaquín Vilumbrales
True," -3.7056671453961694, 40.420127531994346 ",False,True,linea-3,Ventura Rodríguez
True," -3.715975031788373, 40.430658770692084 ",True,True,linea-3,Argüelles
True," -3.7194521744896463, 40.43501556410216 ",True,True,linea-3,Moncloa
False," -3.7043420216216063, 40.43321671973448 ",False,False,linea-2,Quevedo
True," -3.704337220993404, 40.43840594045452 ",True,True,linea-2,Canal
True," -3.7039784766540205, 40.446966678007556 ",True,True,linea-2,Cuatro Caminos
True," -3.812116233154177, 40.34523919601582 ",True,True,linea-10,Puerta del Sur
